0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/person_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/person_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/person_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/fonts/icomoon/icomoon.ttf?srf3rx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/img_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/img_bg_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 200 21522
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/css/style.css HTTP/1.1" 304 -
